route,total_people_summer,change_percent,change_people_flat,score,score_normalized
BNN-TRD,1228,0.9,-131,974,1.0
TOS-MEH,400,1.86,185,929,0.98
KKN-VAW,379,1.93,183,914,0.97
SOG-BGO,570,1.34,144,908,0.97
MEH-TOS,345,2.08,179,897,0.96
KKN-BJF,474,1.53,164,889,0.96
SOJ-TOS,321,2.14,171,858,0.94
HVG-TOS,404,1.55,144,770,0.9
SOG-HOV,283,1.74,120,612,0.82
BOO-ANX,544,1.03,17,577,0.8
TOS-HVG,358,1.35,92,575,0.8
RET-BOO,317,1.45,99,559,0.79
TOS-VAW,188,2.38,109,556,0.79
HFT-HVG,132,2.64,82,430,0.73
SVG-BNN,174,1.91,83,415,0.72
KKN-BVG,176,1.83,80,402,0.72
KKN-ALF,395,0.99,-5,386,0.71
BOO-RET,267,1.23,50,378,0.7
VAW-KKN,248,1.24,48,356,0.69
TOS-BVG,163,1.75,70,355,0.69
ALF-BJF,133,1.99,66,331,0.68
BVG-KKN,132,2.0,66,330,0.68
SOG-SDN,179,1.41,52,304,0.67
BJF-TOS,150,1.61,57,298,0.67
HOV-SOG,196,1.23,37,278,0.66
BJF-KKN,162,1.41,47,275,0.65
ALF-VDS,205,0.98,-4,197,0.62
OSL-SRP,100,0.26,-278,-252,0.39
TRD-KRS,19,0.02,-948,-948,0.05
KRS-TRD,20,0.02,-1052,-1052,0.0
