,DimKey,DimAlternateKey,BatchId,DateFrom,DateTo,Description,IATACode,LVOwned,WorldRegionCode,WorldRegionDescription,CountryCode,Country,National,Schengen,Eu,Eøs,AirportCode,AirportCity,0,Null
86,3468,ENSD,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Sandane,SDN,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SDN,Sandane,0.0,
87,3471,ENSF,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Statfjord A,STA,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,STA,Stauning,0.0,
88,3472,ENSF,0,2001-03-25 00:00:00.000,2015-07-31 00:00:00.000,Statfjord A,STA,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,STA,Stauning,0.0,
89,3473,ENSF,0,2015-08-01 00:00:00.000,9999-12-31 00:00:00.000,Statfjord A,8SF,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,STA,Stauning,0.0,
90,3474,ENSG,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Sogndal,SOG,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SOG,Sogndal,0.0,
91,3475,ENSG,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Sogndal,SOG,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SOG,Sogndal,0.0,
92,3476,ENSH,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Svolvær,SVJ,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SVJ,Svolvær,0.0,
93,3477,ENSH,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Svolvær,SVJ,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SVJ,Svolvær,0.0,
94,3480,ENSK,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Stokmarknes,SKN,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SKN,Stokmarknes,0.0,
95,3481,ENSK,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Stokmarknes,SKN,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SKN,Stokmarknes,0.0,
96,3486,ENSN,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Skien,SKE,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SKE,Skien,0.0,
97,3487,ENSN,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Skien,SKE,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SKE,Skien,0.0,
98,3488,ENSO,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Stord,SRP,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SRP,Stord,0.0,
99,3489,ENSO,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Stord,SRP,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SRP,Stord,0.0,
100,3490,ENSR,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Sørkjosen,SOJ,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SOJ,Sorkjosen,0.0,
101,3491,ENSR,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Sørkjosen,SOJ,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SOJ,Sorkjosen,0.0,
102,3492,ENSS,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Vardø,VAW,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,VAW,Vardø,0.0,
103,3493,ENSS,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Vardø,VAW,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,VAW,Vardø,0.0,
104,3494,ENST,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Sandnessjøen,SSJ,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SSJ,Sandnessjøen,0.0,
105,3495,ENST,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Sandnessjøen,SSJ,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SSJ,Sandnessjøen,0.0,
106,3502,ENTC,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Tromsø,TOS,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,TOS,Tromsø,0.0,
107,3503,ENTC,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Tromsø,TOS,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,TOS,Tromsø,0.0,
108,3504,ENTO,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Sandefjord Torp,TRF,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,TRF,Sandefjord Torp,0.0,
109,3505,ENTO,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Sandefjord Torp,TRF,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,TRF,Sandefjord Torp,0.0,
110,3525,ENUI,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Kongsvinger,CFW,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,CFW,Kongsvinger,0.0,
111,3526,ENUI,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Kongsvinger,CFW,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,CFW,Kongsvinger,0.0,
112,3527,ENUK,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Gol,GLL,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,GLL,Gol,0.0,
113,3528,ENUK,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Gol,GLL,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,GLL,Gol,0.0,
114,3550,ENVA,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Trondheim,TRD,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,TRD,Trondheim,0.0,
115,3551,ENVA,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Trondheim,TRD,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,TRD,Trondheim,0.0,
116,3552,ENVD,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Vadsø,VDS,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,VDS,Vadsø,0.0,
117,3553,ENVD,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Vadsø,VDS,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,VDS,Vadsø,0.0,
118,3850,ENVR,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Værøy,VRY,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,VRY,Værøy,0.0,
119,3851,ENVR,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Værøy,VRY,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,VRY,Værøy,0.0,
120,3902,ENXK,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Ekofisk K / Ny Kont.,NXK,0,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,NXK,Ekofisk K,0.0,
121,3903,ENXK,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Ekofisk K / Ny Kont.,NXK,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,NXK,Ekofisk K,0.0,
122,3954,ENZV,0,2000-01-01 00:00:00.000,2001-03-24 00:00:00.000,Stavanger,SVG,1,EUR,Europe,NO,Norway,Innland,Non Schengen,Non EU,EØS,SVG,Stavanger,0.0,
123,3955,ENZV,0,2001-03-25 00:00:00.000,9999-12-31 00:00:00.000,Stavanger,SVG,1,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,SVG,Stavanger,0.0,
124,5108,ÆAAA,0,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000,Köln Sentralstasjon,QKL,0,EUR,Europe,NO,Norway,Utland,Non Schengen,Non EU,EØS,CGN,Köln/Bonn,0.0,
125,5256,ENHD,0,2019-05-12 00:00:00.000,9999-12-31 00:00:00.000,Haugesund,HAU,0,EUR,Europe,NO,Norway,Innland,Schengen,Non EU,EØS,HAU,Haugesund,0.0,
