route,baggage_amount
OSL-TOS,44784
OSL-TRD,39530
OSL-BGO,37845
OSL-SVG,34971
OSL-EVE,31897
OSL-BOO,31268
TOS-OSL,29213
BOO-OSL,28465
TRD-OSL,24436
EVE-OSL,23508
BGO-OSL,22907
SVG-OSL,18178
OSL-AES,14557
OSL-ALF,14000
BGO-SVG,10821
OSL-KKN,10070
OSL-BDU,9657
OSL-KRS,9437
OSL-HAU,9436
BGO-TRD,9382
KKN-OSL,8807
AES-OSL,8369
TRD-BGO,7997
BGO-KRS,7921
BDU-OSL,7569
SVG-BGO,6540
SVG-TRD,6418
OSL-MOL,6300
TRD-SVG,6217
OSL-LYR,6139
TOS-TRD,5775
OSL-KSU,5328
ALF-OSL,5183
TOS-BGO,5168
BGO-KSU,5159
BGO-TOS,4988
BOO-LKN,4963
BGO-TRF,4931
HAU-OSL,4730
TRD-TOS,4621
BOO-TRD,4559
BOO-BGO,4407
MOL-OSL,4232
BGO-AES,4167
BGO-BOO,4152
KRS-BGO,3951
BOO-SVJ,3696
BGO-EVE,3669
TOS-HFT,3600
TRD-BOO,3494
EVE-BGO,3402
KSU-OSL,3333
BOO-SVG,3117
BGO-FRO,2946
OSL-LKN,2823
OSL-LKL,2813
LYR-OSL,2769
BOO-TOS,2701
TOS-SVG,2589
TOS-BOO,2547
LKN-OSL,2544
EVE-SVG,2396
KRS-TRD,2392
KRS-OSL,2369
SVG-BOO,2349
BGO-MOL,2278
LKL-OSL,2217
SVG-EVE,2202
SVG-TOS,2169
OSL-FRO,2119
AES-BGO,2108
KSU-BGO,2108
OSL-HOV,2099
TRD-KRS,2072
OSL-ANX,1981
OSL-SVJ,1936
BOO-KRS,1812
SVJ-OSL,1809
TOS-LKL,1744
TOS-ALF,1689
TRD-SSJ,1682
TOS-KRS,1669
OSL-HFT,1629
KSU-SVG,1596
KRS-TOS,1591
OSL-FDE,1578
BOO-SKN,1571
SVG-KSU,1565
TOS-LYR,1513
TOS-KKN,1433
EVE-KRS,1400
KRS-BOO,1385
KRS-EVE,1382
OSL-BNN,1374
TOS-VDS,1361
MOL-BGO,1306
LKN-BOO,1228
BNN-OSL,1226
SVG-AES,1222
TRD-RVK,1209
TRD-MQN,1203
HOV-OSL,1187
AES-SVG,1177
TRD-BNN,1177
BOO-MQN,1164
FRO-BGO,1121
BOO-TRF,1105
SVG-TRF,1094
OSL-MQN,1089
FDE-OSL,1079
FRO-OSL,1064
SVJ-BOO,1052
OSL-SSJ,1016
EVE-TRD,1015
BGO-HOV,1015
SSJ-OSL,1005
MQN-OSL,1003
TRD-MJF,1001
OSL-SDN,971
KKN-TOS,928
BOO-SSJ,914
TRD-EVE,899
LYR-TOS,876
HFT-OSL,874
OSL-SOG,853
TOS-TRF,842
BOO-MJF,841
SVG-FRO,838
OSL-MJF,831
MOL-SVG,808
VDS-TOS,796
SVG-MOL,791
HFT-TOS,787
TRD-OSY,780
FRO-SVG,777
TOS-AES,754
TOS-ANX,745
VDS-OSL,738
TOS-HAA,737
BGO-ALF,726
BOO-BNN,719
KKN-VDS,717
KKN-TRD,713
OSL-VDS,709
HOV-BGO,677
MJF-OSL,668
SVG-ALF,652
EVE-TRF,646
BGO-HFT,640
AES-TOS,635
TOS-LKN,630
SDN-OSL,630
TRD-KKN,616
TRD-ALF,596
LKL-TOS,589
TOS-SOJ,587
ALF-TRD,586
BGO-KKN,580
MQN-TRD,567
BNN-TRD,547
SSJ-TRD,546
TRD-HAU,543
ALF-TOS,540
ALF-BGO,535
OSL-SKN,535
BDU-SVG,519
AES-KRS,513
KKN-BGO,512
ALF-SVG,512
KKN-SVG,511
BGO-LKN,510
OSL-OLA,505
HAU-TRD,501
BDU-BGO,489
TOS-EVE,486
OSL-RVK,484
OSL-OSY,477
KRS-AES,466
HFT-BGO,458
BOO-AES,456
SOG-OSL,454
TOS-MEH,453
KKN-BJF,438
SVG-KKN,437
LKN-TRD,434
KRS-KSU,432
SVG-BDU,432
TOS-HAU,426
TOS-HVG,419
SKN-OSL,416
BOO-ANX,412
BGO-BDU,407
BOO-VRY,407
BDU-TRD,404
MJF-TRD,401
KSU-KRS,393
SKN-BOO,393
TRD-BDU,391
LKN-BGO,385
TRD-LKN,370
ANX-TOS,367
RVK-OSL,360
HAU-TOS,355
OSL-HAA,349
SVG-BNN,346
LYR-TRD,346
