route,baggage_amount
OSL-TIA,48
OSL-FIH,48
TRD-CDG,47
OSL-nan,47
EVE-GDN,47
TOS-AAL,47
OSL-FAO,47
OSL-HAJ,47
ALF-HAM,47
OSL-TRN,47
EVE-KRK,47
OSL-LLW,47
ALF-LHR,46
SVG-DUB,46
BGO-MAD,46
SVG-FCO,46
BGO-TLS,45
OSL-BRE,45
LKN-DUS,45
BDU-MUC,45
TOS-MXP,45
TOS-TLL,45
TRD-EDI,45
OSL-BLR,45
BGO-KEF,44
SVG-AGP,44
OSL-MJT,44
OSL-YUL,44
KSU-TXL,44
TRD-SOF,44
OSL-DAR,44
TRD-KBP,44
OSL-DAC,44
OSL-CTA,43
ALF-TXL,43
OSL-YYZ,43
SVG-DUS,43
OSL-BGW,43
HAU-LHR,42
BOO-AAR,42
OSL-DRS,42
BGO-GOT,42
SVG-NWI,42
TOS-GOT,41
AES-ALC,41
HFT-CPH,41
OSL-MEX,41
BGO-HEL,41
OSL-SKG,41
BGO-AYT,41
LYR-LHR,41
SVG-STR,40
EVE-DUS,40
OSL-KRT,40
KSU-LHR,40
OSL-NUE,40
OSL-WRO,40
OSL-MSP,39
BOO-ZRH,39
OSL-SDL,39
BGO-BLQ,39
SVG-BRU,39
OSL-IAH,39
OSL-MIA,39
BGO-NWI,39
KRS-TXL,39
AES-EDI,39
OSL-PER,38
EVE-LHR,37
TRD-HEL,37
BGO-NCE,37
BGO-BIO,37
KSU-CPH,37
OSL-SEA,37
MOL-LCA,37
TRD-MXP,36
EVE-RIX,36
BGO-PRG,36
SVG-ZRH,36
OSL-HAV,36
OSL-ACC,36
EVE-AMS,35
BGO-LYS,35
SVG-PLQ,35
HAU-AAL,35
BOO-LIN,35
OSL-KLR,35
BGO-GVA,35
BGO-SPU,35
SVG-BCN,35
BGO-CEB,35
BGO-ZAG,34
HAU-RIX,34
KRS-CDG,34
SVG-BHX,34
SVG-CRK,34
SVG-WAW,34
AES-LGW,34
SVG-HEL,33
BOO-CDG,33
BOO-OTP,33
MOL-LHR,33
BDU-FRA,33
TRD-PLQ,33
MOL-PLQ,33
BDU-CPH,33
SVG-IST,32
KKN-ARN,32
TOS-CDG,32
SVG-GOT,32
OSL-GRU,32
KRS-ALC,31
BGO-AAR,31
BGO-NUE,31
AES-MAN,31
AES-BLL,31
SVG-LYS,31
SVG-TLS,31
AES-FAE,31
TRD-LIS,31
OSL-OAJ,31
OSL-LUN,31
SVG-KUL,31
OSL-BHD,31
TRD-HAJ,30
OSL-VAA,30
SVG-VNO,30
OSL-NRT,30
TRD-BCN,30
KRS-GDN,30
OSL-KWI,30
SVG-SPU,30
SVG-KWI,30
FRO-OTP,30
SVG-ADD,30
OSL-NJF,29
SVG-KEF,29
BOO-ALC,29
TRD-IST,29
OSL-DEN,29
SVG-BLQ,29
OSL-HND,29
LYR-CPH,29
BOO-PLQ,29
SVJ-DUS,29
EVE-LGW,29
SVG-NCE,28
OSL-KUO,28
MOL-RIX,28
KKN-FRA,28
SVG-GVA,28
KSU-ARN,28
SVG-KBP,28
SVG-GIG,28
TRD-AGP,28
ALF-ZAG,28
TRD-AAR,27
KSU-AMS,27
SVG-SXF,27
BDU-HAM,27
OSL-KYA,27
HAU-ARN,27
BGO-GLA,27
SVG-GLA,27
TRD-OPO,27
FRO-CPH,27
OSL-MCO,27
BGO-CAI,27
SVG-ATH,27
OSL-SJJ,26
MOL-CPH,26
BOO-AAL,26
BGO-VCE,26
BGO-JFK,26
AES-DUS,26
SVG-BEG,26
HAU-CRK,26
BOO-BRU,26
TRD-LPA,26
MJF-KBP,26
OSL-SLC,25
TRD-SPU,25
EVE-ARN,25
HFT-LHR,25
EVE-VNO,25
TOS-AAR,25
LKN-CPH,25
BGO-BHX,25
OSL-KHI,25
TRD-VCE,25
KRS-MAN,25
OSL-SVO,25
BGO-LLA,25
SVG-VCE,25
KRS-VCE,25
TRD-MAD,25
KRS-DUS,25
SVG-OPO,24
TRD-NUE,24
TOS-ABZ,24
BGO-BOS,24
OSL-BES,24
KRS-EDI,24
OSL-ATL,24
BGO-KBP,24
BGO-SOF,24
SVG-LPA,24
BGO-BLR,24
TRD-GVA,24
SVG-SOF,24
OSL-MSY,24
OSL-LPX,24
EVE-BLL,24
OSL-RZE,24
SVG-TUN,24
AES-VCE,24
AES-IST,24
MOL-MBX,24
OSL-KTM,23
OSL-HKG,23
KKN-GDN,23
TRD-GOT,23
EVE-AAL,23
TOS-VCE,23
HAU-TXL,23
OSL-JIJ,23
OSL-EZE,23
LKN-AMS,23
BGO-IAD,22
OSL-TPA,22
BGO-IST,22
HFT-ARN,22
SVG-PRG,22
KRS-FRA,22
AES-FRA,22
KSU-MNL,22
BGO-OPO,22
TOS-ADD,22
KRS-ZRH,22
BGO-EWR,22
LYR-AMS,22
TRD-JAX,22
TRD-AYT,22
SVG-AYT,22
SVG-CHQ,22
KRS-LGW,22
KRS-KRK,22
BOO-TLL,21
SVG-LSI,21
EVE-TLL,21
OSL-PMO,21
BGO-BRE,21
OSL-ROB,21
TRD-BSL,21
TOS-OTP,21
OSL-GGR,21
SVG-IAH,20
KRS-HEL,20
EVE-ZRH,20
HAU-BLL,20
BGO-FAO,20
ALF-AMS,20
BOO-MAN,20
SVG-FLR,20
BGO-MPL,20
OSL-RHO,20
MOL-AMS,20
BGO-LSI,20
HAU-ALC,20
FRO-LIS,20
FRO-AMS,20
HAU-AMS,20
TOS-ALC,20
OSL-SAN,20
LKN-FRA,20
OSL-TPE,20
KRS-ATH,20
SVG-SIN,20
OSL-MMX,20
MOL-CRK,20
OSL-DSS,20
TRD-FLR,19
SVG-BIO,19
OSL-KRN,19
OSL-SVQ,19
TOS-KEF,19
FRO-GDN,19
AES-CDG,19
AES-HAM,19
OSL-CAG,19
BOO-ZAG,19
KRS-AGP,19
OSL-DLA,19
BGO-ABJ,19
TRD-ATH,18
SVG-LIN,18
KRS-NCE,18
EVE-OTP,18
SVG-BOS,18
BGO-HAJ,18
TOS-KBP,18
OSL-DFW,18
TOS-BUD,18
HAU-WAW,18
SVG-BRS,18
OSL-FLL,18
AES-MNL,18
LYR-FRA,18
OSL-YEG,18
AES-SOF,18
LKL-BLL,18
FRO-MAN,18
OSL-ALA,17
OSL-MSQ,17
MOL-ARN,17
SVG-EWR,17
FRO-ARN,17
OSL-CME,17
HAU-FRA,17
LKN-HAM,17
MOL-MUC,17
OSL-TBS,17
AES-DUB,17
SVG-LLA,17
KRS-KEF,17
SVG-CWL,17
FRO-BLL,17
MQN-CPH,17
SVG-LUX,17
TRD-FCO,17
EVE-PLQ,17
BGO-VLC,17
HAU-OTP,17
OSL-KTW,17
BGO-SEN,17
OSL-GOM,17
KRS-NCL,16
TOS-PRG,16
KRS-RIX,16
SSJ-DUS,16
TOS-EDI,16
HAU-TLL,16
BOO-MXP,16
BGO-FLR,16
HAU-AGP,16
OSL-GOA,16
TOS-BRU,16
AES-BUD,16
HAU-ABZ,16
MOL-HAM,16
BGO-nan,16
BOO-HEL,16
TRD-WRO,16
TRD-NCE,16
OSL-FNA,16
ALF-ARN,16
OSL-LED,16
SVG-MLA,16
OSL-OLB,16
BGO-TUN,16
KRS-LIS,16
OSL-VAR,16
AES-BIO,16
HAU-LGW,16
TOS-MNL,16
SVG-SFO,15
SVG-DEN,15
OSL-DBV,15
KSU-GDN,15
KRS-MUC,15
OSL-GZT,15
OSL-CWL,15
LKL-CPH,15
MOL-BLL,15
BGO-UME,15
KRS-OPO,15
OSL-BRS,15
TOS-BLQ,15
TRD-DRS,15
BGO-GIG,15
KSU-AAL,15
KSU-FAE,15
TRD-DUB,15
TRD-BHX,15
HOV-PLQ,15
MOL-LGW,15
MOL-KRK,15
SVG-FAO,15
KRS-ZAG,15
HAU-CEB,15
OSL-DLM,15
OSL-ABJ,15
TRD-KRP,15
HAA-LHR,15
HAU-HAM,15
OSL-REC,15
OSL-DRO,15
BGO-ODS,15
AES-AGP,15
TRD-OAJ,15
LYR-TLL,15
SVJ-MUC,15
BGO-NBO,15
OSL-DME,15
OSL-LOS,15
ALF-MNL,15
OSL-PSA,14
AES-CRK,14
SSJ-CPH,14
OSL-KIV,14
HVG-BLL,14
KRS-GVA,14
OSL-BRI,14
OSL-DHN,14
OSL-JRO,14
MQN-LHR,14
BGO-MRS,14
SVG-BRE,14
OSL-KGL,14
BNN-ABZ,14
TRD-ADD,14
BGO-DXB,14
TOS-HEL,14
BOO-VIE,14
KRS-TLL,14
TRD-GRU,14
FRO-MNL,14
KRS-HAM,14
OSL-YOW,14
OSL-KVA,14
BOO-LGW,14
KSU-BRU,14
LYR-ARN,14
KSU-ALC,14
BDU-AAL,14
BGO-SCL,14
HAU-MNL,14
OSL-JNB,14
SVG-DXB,14
OSL-NKG,14
KRS-CEB,14
TOS-CEB,14
SVG-NUE,13
BGO-SFO,13
FDE-CPH,13
KSU-NCL,13
TRD-CAI,13
SVG-OSD,13
KRS-LPA,13
OSL-YYT,13
SVG-BSL,13
BGO-BRS,13
OSL-SYD,13
TOS-DRS,13
SVG-DRS,13
BDU-AMS,13
HAU-LIS,13
OSL-VBY,13
KSU-PLQ,13
OSL-KCH,13
BDU-LHR,13
BGO-KRT,13
AES-MAD,13
OSL-KIX,13
KRS-KBP,13
OSL-CMB,13
SVG-IAD,13
LYR-MXP,13
LKL-AAL,13
OSL-AKL,13
AES-TLL,13
KRS-IAH,13
SVG-LAX,13
SVG-MRS,13
OSL-JIB,13
OSL-BWN,13
TRD-ACC,13
SVG-LLW,13
OSL-ZNZ,12
OSL-CFU,12
BNN-TXL,12
OSL-PHX,12
AES-SXF,12
HFT-BLL,12
KKN-MUC,12
KSU-BLL,12
FRO-TXL,12
OSL-GRZ,12
SKN-CPH,12
OSL-CAN,12
SVG-HUY,12
OSL-FOR,12
SVG-ORD,12
TOS-FAE,12
BGO-WRO,12
BOO-FAE,12
OSL-AUH,12
FRO-OPO,12
FRO-FAE,12
AES-LIS,12
OSL-RVN,12
BGO-KLR,12
SVG-WRO,12
SVG-KCH,12
SVJ-LHR,12
BGO-CAG,12
KRS-VNO,12
AES-KRK,12
OSL-NQY,12
OSL-HER,12
TRD-ZAG,12
KKN-LHR,12
FRO-AAL,12
TOS-GVA,12
TOS-LIS,12
BGO-SIN,12
OSL-GEV,12
OSL-BKO,12
OSL-BJR,12
OSL-TGD,12
OSL-ANC,11
TRD-ALA,11
LKN-CDG,11
OSL-SKP,11
KSU-FRA,11
KRS-ADA,11
EVE-CDG,11
LYR-BLL,11
KRS-MAD,11
SVG-LCA,11
MOL-TLL,11
TOS-STR,11
HOV-AMS,11
BGO-PVG,11
OSL-GYD,11
OSL-NWI,11
TOS-ODS,11
AES-ZRH,11
OSL-HRG,11
OSL-CWB,11
KRS-OTP,11
SVG-VLC,11
FRO-WAW,11
HAU-HEL,11
MJF-ARN,11
LKN-LHR,11
OSL-PUF,11
BGO-BEG,11
SVG-HAJ,11
SVG-NTE,11
SVG-CAI,11
SSJ-MUC,11
FRO-NCL,11
KRS-WAW,11
TRD-IAD,11
SVG-PRN,11
TOS-LPA,11
AES-AYT,11
BNN-LHR,11
OSL-GBE,11
SVG-EME,11
TRD-BIO,11
BGO-IAH,11
AES-BRU,11
SVG-SKP,11
MOL-TXL,11
TRD-GLA,11
BGO-GEV,11
OSL-BSB,11
SVG-BWN,11
OSL-LAS,10
OSL-BNA,10
BOO-FCO,10
TRD-FAE,10
OSL-SZZ,10
SVG-LPI,10
OSL-SMI,10
OSL-SUF,10
RVK-CPH,10
HAU-AYT,10
KRS-BUD,10
TOS-WAW,10
TOS-TLS,10
TOS-LLA,10
SVJ-CPH,10
KRS-KUL,10
TRD-LYS,10
BGO-LIN,10
KRS-STR,10
HAU-PLQ,10
SOG-CPH,10
OSL-EVN,10
KSU-RIX,10
AES-GLA,10
KSU-HAM,10
MOL-DUS,10
LKL-MUC,10
TRD-MNL,10
BGO-GRU,10
OSL-MBA,10
TRD-BEG,10
OSL-AUS,10
OSL-BOJ,10
LKN-ARN,10
SVG-PUF,10
TOS-ATH,10
LYR-AAL,10
RVK-OPO,10
BOO-PRG,10
BGO-DCA,10
EVE-VIE,10
ANX-HAM,10
TRD-PEK,10
OSL-PBI,10
BDU-TXL,10
OSL-LAD,10
OSL-LIM,10
OSL-SFJ,10
ANX-ZRH,10
OSL-HUY,9
OSL-HNL,9
SVG-MPL,9
OSY-CPH,9
HAU-DUS,9
LKL-FRA,9
HOV-BLL,9
HOV-CPH,9
TRD-NCL,9
KRS-MXP,9
TOS-BCN,9
KSU-GLA,9
AES-ATH,9
KSU-MAN,9
SVG-ISB,9
OSL-NVT,9
BDU-BLL,9
BDU-OAJ,9
HAU-FAE,9
OSL-PIT,9
BGO-MSQ,9
OSL-PDX,9
OSL-TFS,9
SVG-YYZ,9
BGO-DAC,9
SVG-UME,9
AES-ZAG,9
HAU-ZAG,9
FRO-LHR,9
ANX-CPH,9
OSL-NIM,9
AES-NCL,9
BOO-KBP,9
SVG-CGK,9
SVG-MSQ,9
OSL-CFE,9
MQN-OTP,9
MQN-FRA,9
MJF-FRA,9
MJF-TXL,9
OSL-AMM,9
BOO-BUD,9
OSL-AGH,9
OSL-PHL,9
EVE-EDI,9
OSL-CMN,9
TOS-LGW,9
MJF-DUS,9
ALF-MAN,9
TOS-DUB,8
OSL-MHQ,8
SVG-CLT,8
SVG-MSP,8
HOV-IST,8
SVG-ICN,8
OSL-TKU,8
OSL-BIQ,8
SVG-BOM,8
MOL-FRA,8
LKN-BLL,8
OSL-CUR,8
AES-GOT,8
OSL-SDU,8
TOS-LJU,8
TRD-LJU,8
KRS-PLQ,8
SVG-BOD,8
KRS-DUB,8
EVE-BUD,8
KKN-BUD,8
BNN-CPH,8
HAU-MUC,8
OSL-HTY,8
TOS-MRS,8
HAU-KBP,8
BOO-SOF,8
KRS-CGK,8
VDS-BLL,8
SVG-BKK,8
LYR-ZRH,8
AES-WAW,8
OSL-FNC,8
KRS-SIN,8
OSL-GRR,8
TOS-NCE,8
KRS-LYS,8
TRD-BRE,8
BGO-BOD,8
OSL-BJV,8
OSL-ELP,8
EVE-ALC,8
SVG-MEX,8
KRS-VGO,8
OSL-VGO,8
KRS-PVG,8
AES-LYS,8
HVG-TXL,8
KKN-GOT,8
LYR-GDN,8
KRS-IST,8
TOS-AGP,8
BOO-AYT,8
AES-BCN,8
OSL-SBW,8
TRD-CFE,8
BGO-MEX,8
KRS-GIG,8
BGO-SOU,8
RVK-VNO,8
SVJ-AMS,8
OSL-DCA,7
OSL-SXB,7
HAU-CDG,7
OSL-CVG,7
SVG-MIA,7
BDU-ARN,7
EVE-SOF,7
SVG-KRP,7
OSL-NAT,7
OSL-RNN,7
BGO-LUX,7
KRS-VIE,7
AES-LSI,7
BGO-MSP,7
SDN-BLL,7
OSL-YYC,7
TRD-BOD,7
HAU-ODS,7
MEH-HAM,7
KRS-MSY,7
MOL-SXF,7
SSJ-ARN,7
KRS-PRG,7
SVG-DTW,7
MOL-PRG,7
AES-NWI,7
BGO-SVO,7
BGO-BSL,7
OSL-ROV,7
MOL-CDG,7
OSL-BSR,7
SDN-CPH,7
AES-VIE,7
MQN-ARN,7
OSL-NSI,7
BGO-PMO,7
KRS-DXB,7
TRD-CHQ,7
KSU-MUC,7
SVG-SEA,7
BOO-WAW,7
BGO-OSD,7
LYR-HAM,7
TRD-VLC,7
BOO-GOT,7
TRD-LBA,7
SVG-CTA,7
OSL-TUS,7
BOO-ABZ,7
OSL-DLH,7
KSU-WAW,7
OSL-SZG,7
BGO-MGQ,7
BOO-YUL,7
EVE-MXP,7
SSJ-GDN,7
TOS-HAJ,7
SVG-DEL,7
BGO-ADD,7
OSL-EUG,7
OSL-RNS,7
ANX-FRA,7
FRO-SOU,7
KRS-AYT,7
SVG-HGA,7
KSU-SFJ,7
HFT-OTP,7
OSL-NQZ,7
OSL-CLE,6
TRD-SFO,6
OSL-COO,6
EVE-AAR,6
OSL-ASR,6
BOO-DUB,6
BGO-CGK,6
HFT-ABZ,6
EVE-WAW,6
BGO-CME,6
MOL-ABZ,6
MJF-HEL,6
KRS-FLR,6
OSL-OVD,6
AES-LPA,6
SVG-ORK,6
SVG-LCY,6
SVG-JFK,6
OSL-RDU,6
TOS-SOF,6
KRS-EWR,6
TRD-DBV,6
OSL-HBE,6
OSL-KSC,6
AES-HEL,6
SKN-ARN,6
SVG-SFT,6
BOO-KEF,6
RVK-RIX,6
BGO-POZ,6
KSU-KEF,6
OSL-YHZ,6
TRD-VGO,6
OSL-CMH,6
BGO-DRS,6
AES-KEF,6
KRS-BLL,6
KRS-NVT,6
HAU-GOT,6
BGO-NAT,6
OSL-JTR,6
TRD-LAX,6
BGO-YVR,6
SSJ-TXL,6
MOL-BUD,6
KSU-GOT,6
AES-CEB,6
AES-ODS,6
FDE-HAM,6
BNN-BLL,6
OSL-POR,6
MJF-BLL,6
OSL-KGS,6
OSL-JER,6
SDN-TXL,6
SVG-YVR,6
AES-FIH,6
FDE-AMS,6
TRD-FAO,6
OSL-BDS,6
SVG-ABJ,6
TOS-FLR,6
TRD-BLQ,6
SVG-NAP,6
SVJ-BLL,6
KRS-TLS,6
OSL-GOH,6
MOL-ALC,6
SVJ-TXL,6
TOS-CRK,6
OSL-SZF,6
FDE-MUC,6
OSL-HYD,6
ALF-KEF,6
TRD-YUL,6
OSL-TZX,6
OSL-PPT,6
TOS-BRE,6
KSU-CEB,6
AES-NCE,6
OSL-RAK,6
OSL-PEW,6
HFT-RIX,6
BNN-VNO,6
KKN-ODS,6
EVE-GOT,6
BOO-MGQ,6
EVE-MAN,6
OSL-BSL,6
HAU-BUD,6
BGO-CWL,6
KRS-LUX,6
SVG-MGQ,6
SDN-LHR,6
TRD-SEN,6
TRD-KRT,6
BOO-LPA,6
RVK-OTP,6
BOO-AGP,6
BGO-ACC,6
KRS-JIJ,6
OSL-PTY,6
OSL-GYE,5
OSL-CUN,5
OSL-BDL,5
TRD-HUY,5
TOS-IST,5
FRO-RIX,5
KSU-VNO,5
KKN-RIX,5
EVE-ZAG,5
AES-VNO,5
TOS-MAD,5
SVJ-ZRH,5
BDU-RIX,5
SVG-ODS,5
FDE-ARN,5
AES-MXP,5
AES-TLS,5
OSL-MOB,5
OSL-CRW,5
TOS-SVO,5
KRS-BCN,5
BGO-TLV,5
AES-DEL,5
BGO-SFT,5
SVG-VRN,5
OSL-YYJ,5
TRD-CRK,5
FDE-FRA,5
OSL-IFN,5
BGO-GYD,5
BGO-CTA,5
BGO-MLA,5
AES-LIN,5
SVG-ISU,5
AES-AAR,5
MJF-LHR,5
TOS-NAP,5
AES-OPO,5
KRS-BLQ,5
ALF-VIE,5
KRS-SPU,5
MOL-ZRH,5
FRO-DUS,5
OSL-MYY,5
SVG-YYC,5
KKN-ZRH,5
BDU-ZRH,5
BGO-EBJ,5
BOO-BEG,5
BGO-SJJ,5
TRD-TRN,5
SVG-GOA,5
BOO-UME,5
VAW-CPH,5
BGO-DOH,5
BNN-ARN,5
BGO-BKK,5
SVG-BHD,5
OSL-ROC,5
TRD-DAR,5
TRD-MSP,5
BGO-LJU,5
SSJ-OTP,5
KRS-BSL,5
KRS-BHX,5
KRS-VAA,5
BGO-KIX,5
LKL-HAM,5
HFT-CRK,5
OSL-IND,5
HAA-GOT,5
MOL-GDN,5
KRS-FAE,5
KKN-VIE,5
OSL-FLN,5
OSL-MLE,5
TOS-OPO,5
SVG-KLR,5
RVK-EDI,5
OSL-ADL,5
OSL-XMN,5
TOS-BEG,5
HAU-SXF,5
HAU-DRS,5
TRD-LLA,5
LKN-RIX,5
AES-LJU,5
SVG-YOW,5
AES-KBP,5
LKN-MUC,5
BGO-HGA,5
KRS-MLA,5
AES-PLQ,5
TRD-YEG,5
TRD-PHL,5
SVJ-GDN,5
SSJ-STR,5
KRS-BOS,5
ANX-MUC,5
OSL-SYZ,5
KSU-AGP,5
TRD-LPI,5
TRD-TLS,5
OSL-CCC,5
AES-TLV,5
SVG-GZP,5
OSL-MVD,5
HAU-MAN,5
HAU-EDI,5
OSL-ORK,5
SVG-EBL,5
BGO-GZP,5
TRD-TUN,5
BGO-KTM,5
EVE-FCO,5
KSU-SOF,5
BDU-IST,5
TRD-KOA,5
OSL-KOA,5
KRS-NBO,5
OSL-NDR,5
SVG-HGH,5
BGO-ISB,5
BGO-ORD,4
OSL-MCI,4
TRD-NAP,4
TRD-SGD,4
HFT-GOT,4
BGO-KRP,4
OSL-KRP,4
KRS-AAL,4
SOG-ARN,4
BOO-KLR,4
SVJ-FRA,4
TRD-SFT,4
OSL-LFW,4
HAU-AAR,4
RVK-BLL,4
AES-BLQ,4
AES-PVG,4
BOO-OPO,4
HOV-LPA,4
TRD-JFK,4
TRD-ADA,4
TRD-ABJ,4
OSL-YQM,4
OSL-SYY,4
TRD-LIN,4
EVE-AYT,4
TRD-ODS,4
OSL-MAF,4
AES-BRE,4
OSL-MHD,4
HAU-CAI,4
HOV-HAM,4
BGO-OVD,4
SDN-FRA,4
TOS-VBY,4
BGO-SGD,4
BGO-SBZ,4
OSL-OMA,4
TRD-EWR,4
MOL-AGP,4
RVK-ABZ,4
OSL-VIX,4
TRD-TPE,4
MJF-CPH,4
OSL-AUA,4
TOS-SEA,4
OSL-JMK,4
