route,baggage_amount
OSL-LHR,6534
OSL-CPH,4445
OSL-FRA,3526
OSL-ARN,2933
OSL-MUC,2655
OSL-RIX,2647
OSL-CDG,2228
OSL-AMS,1995
OSL-BLL,1791
OSL-KRK,1705
OSL-LGW,1638
OSL-HAM,1544
OSL-TXL,1520
OSL-SXF,1506
OSL-BUD,1504
SVG-ABZ,1305
OSL-TLL,1292
OSL-VNO,1274
OSL-ALC,1251
OSL-DUS,1236
OSL-HEL,1152
BGO-CPH,1103
OSL-GDN,1086
BGO-ABZ,1080
OSL-MAN,1074
SVG-LHR,922
OSL-ZRH,922
OSL-EDI,868
OSL-VIE,850
SVG-CPH,844
OSL-PLQ,830
OSL-STN,790
OSL-AGP,757
OSL-KEF,681
OSL-WAW,679
OSL-AYT,674
SVG-GDN,667
OSL-AAL,627
OSL-DUB,611
OSL-BEG,608
TOS-FRA,600
BGO-GDN,597
OSL-ATH,587
OSL-FCO,584
OSL-ADD,570
BGO-AMS,569
SVG-KRK,568
OSL-MAD,527
TRD-CPH,522
OSL-ISB,521
OSL-IST,514
TOS-MUC,501
AES-GDN,488
OSL-BCN,470
OSL-BRU,468
SVG-AMS,463
TOS-TXL,456
SVG-NCL,445
OSL-LPA,445
BGO-LHR,427
OSL-LIS,426
OSL-DOH,412
TRD-GDN,407
BGO-LGW,405
OSL-LIN,397
AES-KUN,383
BGO-KRK,381
OSL-MXP,377
BGO-FRA,364
OSL-MNL,361
TRD-KRK,356
OSL-NCE,353
TOS-HAM,351
BGO-OTP,347
OSL-OTP,345
OSL-DXB,344
TRD-AMS,341
SVG-KUN,338
BGO-KUN,337
OSL-KBP,327
OSL-SPU,318
OSL-LHE,312
EVE-MUC,307
OSL-GVA,305
TOS-LHR,303
OSL-SOF,302
TOS-CPH,301
OSL-PRG,295
OSL-CRK,292
BGO-WAW,288
OSL-ABZ,287
OSL-CEB,285
BGO-ARN,284
OSL-AAR,282
TOS-GDN,279
BGO-MUC,277
OSL-NBO,263
BOO-GDN,255
OSL-CHQ,251
BGO-TXL,249
TRD-FRA,230
BGO-BLL,227
TRD-RIX,224
OSL-VCE,223
TRD-MUC,223
TOS-DUS,221
TRD-LHR,218
BGO-CPT,217
BOO-DUS,216
OSL-EWR,210
BOO-CPH,202
BGO-CDG,200
KRS-AMS,200
BOO-FRA,199
OSL-JFK,197
BGO-ALC,196
KSU-ABZ,194
OSL-MGQ,192
TRD-TXL,187
OSL-STR,184
TRD-ARN,183
AES-AMS,183
TOS-SXF,183
OSL-LLA,182
OSL-ZAG,180
BGO-RIX,180
HAU-GDN,180
SVG-MAN,178
SVG-BLL,177
BGO-HAM,174
BOO-MUC,172
HAU-KRK,168
OSL-DEL,167
OSL-BKK,166
KRS-CPH,165
OSL-TUN,161
OSL-UME,159
OSL-OPO,158
SVG-TXL,157
BOO-LHR,157
OSL-FAE,155
BOO-HAM,155
BOO-TXL,152
OSL-KLU,152
BGO-DUS,151
OSL-SAW,149
OSL-BLQ,148
TOS-BLL,148
OSL-EBL,148
SVG-FRA,147
BGO-KTW,146
SVG-ARN,145
OSL-BOS,144
OSL-GOT,144
SVG-KTW,144
EVE-FRA,143
OSL-TLS,143
BGO-MAN,139
SVG-ALC,139
OSL-SIN,139
TRD-LGW,138
AES-ABZ,137
SVG-FAE,137
BGO-SZZ,137
BGO-AAL,134
TOS-KRK,134
SVG-SZZ,134
OSL-PRN,132
OSL-LAX,130
SVG-HRI,128
OSL-CAI,127
AES-LHR,127
OSL-LJU,126
OSL-NAP,125
OSL-IKA,125
OSL-HGA,124
TRD-VNO,120
SVG-BUD,120
OSL-LYS,119
AES-OTP,119
KRS-LHR,116
AES-CPH,115
SVG-LGW,114
TRD-ALC,110
TRD-BLL,110
TRD-DUS,107
OSL-FLR,107
OSL-KBL,106
TOS-ARN,104
OSL-BHX,104
OSL-PVG,101
KRS-MNL,101
BGO-VIE,100
TRD-HAM,99
OSL-TLV,99
SVG-AAL,97
SVG-RIX,97
OSL-LCA,97
BOO-RIX,96
BOO-VNO,95
OSL-GZP,95
OSL-ORD,94
BGO-MXP,94
BGO-PLQ,93
EVE-TXL,92
OSL-ICN,92
OSL-ESB,91
TOS-AMS,91
OSL-SCL,91
BGO-FAE,89
SVG-EDI,89
OSL-ISU,89
OSL-SFO,87
BGO-AGP,87
TRD-WAW,87
EVE-CPH,85
TOS-MAN,85
SVG-MNL,84
ALF-CPH,84
OSL-BOM,84
BGO-FCO,83
TRD-ABZ,83
AES-RIX,81
KRS-CRK,81
BGO-LIS,80
SVG-CEB,80
OSL-MLA,79
TOS-RIX,79
BOO-ARN,79
SVG-CDG,79
OSL-BEY,78
OSL-IAD,77
HAU-CPH,77
OSL-VKO,77
TRD-MAN,76
TOS-ZRH,76
OSL-GIG,76
OSL-NCL,75
SVG-MXP,74
TRD-STR,74
SVG-HAM,74
EVE-HAM,74
SVG-MUC,73
BGO-TLL,73
BGO-BUD,73
OSL-MPL,72
OSL-BOD,72
OSL-VRN,71
TOS-VIE,70
TRD-OTP,70
OSL-GLA,70
FRO-ABZ,70
OSL-MRS,69
AES-MUC,69
BGO-LCA,69
ALF-BLL,68
OSL-ADB,68
ALF-DUS,68
SVG-TLL,67
OSL-ODS,67
ALF-FRA,67
EVE-SXF,67
OSL-OSD,66
KKN-BLL,65
BGO-DUB,65
TOS-LIN,65
SVG-OTP,64
OSL-PMI,64
BGO-NCL,63
BGO-BRU,63
TRD-AAL,61
BGO-MNL,60
OSL-PEK,60
SVG-ZAG,60
OSL-NTE,60
ALF-GDN,59
OSL-KUL,59
BGO-LPA,59
BOO-AMS,58
OSL-SFT,58
BGO-ZRH,58
BOO-SXF,58
OSL-JUB,58
SVG-MAD,57
OSL-CGK,57
AES-AAL,57
SVG-AAR,57
BGO-STR,56
BGO-EDI,56
OSL-OUL,56
TRD-ZRH,56
BOO-KRK,56
BGO-VNO,55
TRD-BRU,54
SVG-VIE,54
OSL-BIO,54
KKN-CPH,54
BGO-SXF,54
BGO-CHQ,54
BGO-BCN,53
TRD-SXF,53
AES-TXL,53
TRD-TLL,53
TRD-VIE,52
OSL-VLC,52
OSL-ADA,52
BOO-BLL,52
KRS-ABZ,52
AES-ARN,51
OSL-POZ,51
TRD-KEF,51
OSL-LUX,51
TOS-PLQ,50
BGO-CRK,50
OSL-YVR,49
BGO-ATH,49
TRD-PRG,48
LKN-TXL,48
BDU-DUS,48
TOS-VNO,48
SVG-LIS,48
KRS-ARN,48
TRD-BUD,48
TOS-FCO,48
